PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
316271,1216,421,304010,793,421
306220,1216,421,300909,793,421
307429,1216,421,308679,793,421
307400,1216,421,300329,793,421
305350,1216,421,299389,793,421
295029,1216,421,302860,793,421
298869,1216,421,294589,793,421
295910,1216,421,295419,793,421
299759,1216,421,296149,793,421
297749,1216,421,301110,793,421
302400,1216,421,298449,793,421
304930,1216,421,306560,793,421
306369,1216,421,307270,793,421
311890,1216,421,306540,793,421
301679,1216,421,310630,793,421
303910,1216,421,308530,793,421
309400,1216,421,306120,793,421
299089,1216,421,312690,793,421
296990,1216,421,330581,793,421
322051,1216,421,300119,793,421
311530,1216,421,306170,793,421
312440,1216,421,298319,793,421
321691,1216,421,304220,793,421
295729,1216,421,294959,793,421
300299,1216,421,304870,793,421
292809,1216,421,296089,793,421
296249,1216,421,301519,793,421
293779,1216,421,294059,793,421
292449,1216,421,294569,793,421
296519,1216,421,291608,793,421
291089,1216,421,320301,793,421
299029,1216,421,294149,793,421
286818,1216,421,289209,793,421
309080,1216,421,314260,793,421
300769,1216,421,332622,793,421
308070,1216,421,301889,793,421
304040,1216,421,314590,793,421
299939,1216,421,304150,793,421
301080,1216,421,298349,793,421
293809,1216,421,306700,793,421
297209,1216,421,297159,793,421
293359,1216,421,303980,793,421
292319,1216,421,295089,793,421
292218,1216,421,297399,793,421
301829,1216,421,297999,793,421
305180,1216,421,305269,793,421
294339,1216,421,299399,793,421
292419,1216,421,301799,793,421
294059,1216,421,292239,793,421
294679,1216,421,302890,793,421
298510,1216,421,294129,793,421
290489,1216,421,297809,793,421
290679,1216,421,298579,793,421
293799,1216,421,293109,793,421
313600,1216,421,296850,793,421
300530,1216,421,292708,793,421
290109,1216,421,293189,793,421
288368,1216,421,301140,793,421
288768,1216,421,290169,793,421
288879,1216,421,289558,793,421
286568,1216,421,293409,793,421
287909,1216,421,286338,793,421
282878,1216,421,287929,793,421
283798,1216,421,291429,793,421
278028,1216,421,282369,793,421
305670,1216,421,288858,793,421
286079,1216,421,292668,793,421
288169,1216,421,284378,793,421
283369,1216,421,285988,793,421
283188,1216,421,286918,793,421
284918,1216,421,291509,793,421
291039,1216,421,288618,793,421
285178,1216,421,288519,793,421
285088,1216,421,292479,793,421
305430,1216,421,301790,793,421
300010,1216,421,306980,793,421
296509,1216,421,300720,793,421
295209,1216,421,302889,793,421
294579,1216,421,296729,793,421
301189,1216,421,295969,793,421
293329,1216,421,300619,793,421
299539,1216,421,296659,793,421
291369,1216,421,302079,793,421
299090,1216,421,297299,793,421
291919,1216,421,301129,793,421
300789,1216,421,297950,793,421
295569,1216,421,306370,793,421
300720,1216,421,295219,793,421
292198,1216,421,299260,793,421
299600,1216,421,292618,793,421
294949,1216,421,293039,793,421
297359,1216,421,297269,793,421
291859,1216,421,293729,793,421
291009,1216,421,299079,793,421
288898,1216,421,290109,793,421
295009,1216,421,301589,793,421
297779,1216,421,292119,793,421
288439,1216,421,296559,793,421
292278,1216,421,295299,793,421
286608,1216,421,289799,793,421
