PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
1007335,6,421,2480910,6,1240
992314,6,421,2367873,6,1240
1017226,6,421,2686303,6,1240
980173,6,421,2380224,6,1240
984923,6,421,2365003,6,1240
979233,6,421,2345141,6,1240
976263,6,421,2369033,6,1240
976173,6,421,2339910,6,1240
972982,6,421,2335741,6,1240
982213,6,421,2372893,6,1240
966822,6,421,2317860,6,1240
967492,6,421,2317540,6,1240
962252,6,421,2349521,6,1240
961982,6,421,2311519,6,1240
1017425,6,421,2397195,6,1240
994004,6,421,2422216,6,1240
989253,6,421,2400325,6,1240
988404,6,421,2385303,6,1240
1001205,6,421,2388144,6,1240
980263,6,421,2362422,6,1240
982444,6,421,2350831,6,1240
982593,6,421,2380993,6,1240
979863,6,421,2369033,6,1240
965742,6,421,2348531,6,1240
967002,6,421,2334611,6,1240
966042,6,421,2369333,6,1240
959421,6,421,2328280,6,1240
989503,6,421,2332650,6,1240
965742,6,421,2387294,6,1240
964902,6,421,2334931,6,1240
960482,6,421,2318099,6,1240
1221388,6,421,2359702,6,1240
957801,6,421,2305649,6,1240
981003,6,421,2378983,6,1240
986423,6,421,2408815,6,1240
1000285,6,421,2403235,6,1240
1011146,6,421,2399894,6,1240
996734,6,421,2421776,6,1240
990974,6,421,2386424,6,1240
988904,6,421,2385524,6,1240
989744,6,421,2376433,6,1240
982353,6,421,2391014,6,1240
1144074,6,421,2481830,6,1240
979104,6,421,2404104,6,1240
975833,6,421,2387604,6,1240
976753,6,421,2369613,6,1240
981044,6,421,2346261,6,1240
975882,6,421,2391785,6,1240
978402,6,421,2368562,6,1240
974433,6,421,2353192,6,1240
980123,6,421,2384604,6,1240
974502,6,421,2342021,6,1240
972193,6,421,2337591,6,1240
971953,6,421,2364472,6,1240
971533,6,421,2326890,6,1240
981003,6,421,2329510,6,1240
962262,6,421,2381783,6,1240
965702,6,421,2314239,6,1240
982303,6,421,2308898,6,1240
960772,6,421,2338740,6,1240
957102,6,421,2321839,6,1240
960292,6,421,2582956,6,1240
961782,6,421,2325040,6,1240
961312,6,421,2309198,6,1240
952911,6,421,2305809,6,1240
952002,6,421,2316969,6,1240
959772,6,421,2290037,6,1240
960852,6,421,2290677,6,1240
971422,6,421,2325350,6,1240
947031,6,421,2276187,6,1240
931350,6,421,2248525,6,1240
929749,6,421,2273537,6,1240
936500,6,421,2238264,6,1240
941150,6,421,2272797,6,1240
937430,6,421,2266336,6,1240
935101,6,421,2243264,6,1240
929070,6,421,2231293,6,1240
931890,6,421,2257626,6,1240
980123,6,421,2250906,6,1240
932370,6,421,2263076,6,1240
1003154,6,421,2429177,6,1240
1007445,6,421,2407635,6,1240
1004645,6,421,2401725,6,1240
1000485,6,421,2421216,6,1240
993744,6,421,2671352,6,1240
981793,6,421,2388294,6,1240
988543,6,421,2411546,6,1240
1002865,6,421,2375083,6,1240
1010045,6,421,2358472,6,1240
1014245,6,421,2349641,6,1240
977133,6,421,2343991,6,1240
974423,6,421,2348771,6,1240
999784,6,421,2354012,6,1240
992704,6,421,2437468,6,1240
975193,6,421,2337040,6,1240
974353,6,421,2364383,6,1240
973473,6,421,2362582,6,1240
967192,6,421,2336981,6,1240
963732,6,421,2322820,6,1240
963722,6,421,2333321,6,1240
