PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
4983381,18234,434,14621920,52086,1240
4975680,18234,434,14537616,52086,1240
5079037,18234,434,14316391,52086,1240
5068436,18234,434,14608170,52086,1240
5013423,18234,434,14385955,52086,1240
4920936,18234,434,14777110,52086,1240
5001232,18234,434,14441699,52086,1240
5055845,18234,434,14393095,52086,1240
5190744,18234,434,16229444,52086,1240
4922787,18234,434,14287379,52086,1240
4919696,18234,434,14307201,52086,1240
4911156,18234,434,14045674,52086,1240
5032733,18234,434,14276718,52086,1240
4962249,18234,434,14538475,52086,1240
4940868,18234,434,14346983,52086,1240
4949719,18234,434,14344413,52086,1240
4920027,18234,434,14147420,52086,1240
4967650,18234,434,14097187,52086,1240
4793089,18234,434,14326642,52086,1240
5157342,18234,434,14408897,52086,1240
4948178,18234,434,14348154,52086,1240
4926827,18234,434,14184153,52086,1240
4991961,18234,434,14578637,52086,1240
4991371,18234,434,14494122,52086,1240
4904575,18234,434,14275719,52086,1240
4884784,18234,434,14132169,52086,1240
4920987,18234,434,14051124,52086,1240
4965000,18234,434,14674934,52086,1240
4954758,18234,434,14355613,52086,1240
4973200,18234,434,14279989,52086,1240
4933838,18234,434,14221065,52086,1240
4876554,18234,434,14096618,52086,1240
4859913,18234,434,14044414,52086,1240
4848722,18234,434,13960819,52086,1240
4828960,18234,434,13866983,52086,1240
4755286,18234,434,13838351,52086,1240
4816350,18234,434,13821399,52086,1240
4779938,18234,434,13596815,52086,1240
4692512,18234,434,13405113,52086,1240
4693932,18234,434,13405303,52086,1240
4634798,18234,434,13514960,52086,1240
4662490,18234,434,13524560,52086,1240
4685002,18234,434,13669970,52086,1240
4688281,18234,434,13578243,52086,1240
4710123,18234,434,13553792,52086,1240
4688582,18234,434,13563953,52086,1240
4738355,18234,434,13489138,52086,1240
4857982,18234,434,13706852,52086,1240
5031544,18234,434,15035188,52086,1240
5017733,18234,434,14733478,52086,1240
4986281,18234,434,14248067,52086,1240
4945898,18234,434,14268909,52086,1240
4954829,18234,434,14083516,52086,1240
4910446,18234,434,14070986,52086,1240
4931127,18234,434,13890864,52086,1240
4680261,18234,434,13893235,52086,1240
4817680,18234,434,13868252,52086,1240
4666440,18234,434,14285099,52086,1240
5041794,18234,434,14282409,52086,1240
4917597,18234,434,14343693,52086,1240
5005812,18234,434,14275949,52086,1240
4911786,18234,434,14119108,52086,1240
4893335,18234,434,14129379,52086,1240
4936348,18234,434,14123229,52086,1240
4852802,18234,434,14441029,52086,1240
5105009,18234,434,14516624,52086,1240
4989871,18234,434,14371504,52086,1240
4971450,18234,434,14317811,52086,1240
4906916,18234,434,14238687,52086,1240
4965289,18234,434,14123879,52086,1240
4847891,18234,434,14017081,52086,1240
5032574,18234,434,13969509,52086,1240
4808960,18234,434,13921136,52086,1240
4924677,18234,434,13641518,52086,1240
4750356,18234,434,13839361,52086,1240
4716314,18234,434,14193464,52086,1240
5006423,18234,434,14562197,52086,1240
4983000,18234,434,14415808,52086,1240
4938608,18234,434,14376565,52086,1240
4911126,18234,434,14443670,52086,1240
4928707,18234,434,14090827,52086,1240
4855192,18234,434,14113379,52086,1240
4895825,18234,434,13958329,52086,1240
5082287,18234,434,14799153,52086,1240
5011113,18234,434,14570187,52086,1240
4985381,18234,434,14529555,52086,1240
4938468,18234,434,14328653,52086,1240
4953279,18234,434,14485022,52086,1240
4858423,18234,434,14107378,52086,1240
4820810,18234,434,14087657,52086,1240
4852413,18234,434,14018972,52086,1240
4808079,18234,434,13913656,52086,1240
4787859,18234,434,13713673,52086,1240
4730155,18234,434,13590585,52086,1240
4696532,18234,434,13612276,52086,1240
4722384,18234,434,13638248,52086,1240
4701673,18234,434,13678261,52086,1240
4705822,18234,434,13619397,52086,1240
4728134,18234,434,13622487,52086,1240
4714304,18234,434,13658049,52086,1240
