PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
423625,756,265,324125,491,265
359459,756,265,323000,491,265
375458,756,265,321208,491,265
433750,756,265,314250,491,265
367291,756,265,387042,491,265
346833,756,265,362708,491,265
418750,756,265,1341500,491,265
358500,756,265,424875,491,265
318834,756,265,385875,491,265
392583,756,265,368375,491,265
603042,756,265,431459,491,265
396834,756,265,320125,491,265
354250,756,265,317958,491,265
404792,756,265,373000,491,265
356500,756,265,312167,491,265
349708,756,265,364500,491,265
354625,756,265,343875,491,265
378958,756,265,314250,491,265
349792,756,265,310166,491,265
395083,756,265,327541,491,265
365125,756,265,340333,491,265
378958,756,265,327459,491,265
404834,756,265,335583,491,265
348333,756,265,332375,491,265
417042,756,265,362167,491,265
372166,756,265,381416,491,265
343500,756,265,317583,491,265
375000,756,265,330167,491,265
579042,756,265,369875,491,265
376041,756,265,356625,491,265
764041,756,265,676708,491,265
473167,756,265,322125,491,265
352083,756,265,322292,491,265
345042,756,265,349584,491,265
342541,756,265,322167,491,265
608375,756,265,324875,491,265
316875,756,265,306750,491,265
421125,756,265,318375,491,265
387958,756,265,337958,491,265
367292,756,265,313750,491,265
395875,756,265,385917,491,265
374333,756,265,382959,491,265
349000,756,265,311292,491,265
420000,756,265,329417,491,265
340625,756,265,313500,491,265
496792,756,265,348708,491,265
389375,756,265,337291,491,265
370958,756,265,331250,491,265
424167,756,265,327000,491,265
374500,756,265,317625,491,265
382417,756,265,319917,491,265
380000,756,265,343292,491,265
357875,756,265,319375,491,265
327958,756,265,306792,491,265
358875,756,265,324000,491,265
370666,756,265,335125,491,265
392583,756,265,328750,491,265
712541,756,265,558042,491,265
485791,756,265,335791,491,265
343250,756,265,323292,491,265
334875,756,265,320500,491,265
368083,756,265,321875,491,265
445875,756,265,348000,491,265
377042,756,265,312833,491,265
421875,756,265,339958,491,265
478583,756,265,609834,491,265
420958,756,265,315834,491,265
370709,756,265,322875,491,265
390542,756,265,306750,491,265
354542,756,265,323583,491,265
369875,756,265,510208,491,265
342000,756,265,322750,491,265
442958,756,265,319708,491,265
429084,756,265,326416,491,265
365958,756,265,310541,491,265
343750,756,265,320959,491,265
391334,756,265,328000,491,265
340708,756,265,322209,491,265
356250,756,265,325000,491,265
383083,756,265,381834,491,265
410125,756,265,309500,491,265
356167,756,265,331334,491,265
343917,756,265,324041,491,265
437542,756,265,341709,491,265
346291,756,265,318125,491,265
669459,756,265,804458,491,265
379500,756,265,312625,491,265
439000,756,265,331084,491,265
354875,756,265,318250,491,265
341167,756,265,320125,491,265
429542,756,265,361416,491,265
350292,756,265,320166,491,265
336500,756,265,315292,491,265
357292,756,265,336625,491,265
415250,756,265,334833,491,265
359209,756,265,317084,491,265
341125,756,265,321666,491,265
375959,756,265,329833,491,265
353125,756,265,314625,491,265
356458,756,265,334167,491,265
