PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
7062292,13530,322,31260583,47550,1132
6597292,13530,322,28081875,47550,1132
6631959,13530,322,28849792,47550,1132
7131250,13530,322,29293250,47550,1132
7102000,13530,322,30007792,47550,1132
6961875,13530,322,33172291,47550,1132
7194042,13530,322,26693000,47550,1132
7016834,13530,322,31556917,47550,1132
6686291,13530,322,27926834,47550,1132
6802000,13530,322,24851459,47550,1132
8818292,13530,322,28281667,47550,1132
6713334,13530,322,26754208,47550,1132
6864416,13530,322,24137458,47550,1132
7268167,13530,322,28403958,47550,1132
6905459,13530,322,28785833,47550,1132
7292417,13530,322,24307542,47550,1132
10152458,13530,322,24278542,47550,1132
6667708,13530,322,30915750,47550,1132
7102375,13530,322,30847917,47550,1132
6725041,13530,322,24350500,47550,1132
7272166,13530,322,24233417,47550,1132
8835584,13530,322,24963167,47550,1132
6734875,13530,322,30329000,47550,1132
6587250,13530,322,35383000,47550,1132
12446750,13530,322,28464000,47550,1132
6638292,13530,322,24267833,47550,1132
6514833,13530,322,27316792,47550,1132
6514375,13530,322,31936541,47550,1132
7123208,13530,322,25992583,47550,1132
9515125,13530,322,24631000,47550,1132
6644833,13530,322,27027708,47550,1132
6653958,13530,322,27139667,47550,1132
6655000,13530,322,32530542,47550,1132
6824208,13530,322,26696875,47550,1132
6785125,13530,322,23695166,47550,1132
6552791,13530,322,426203166,47550,1132
9246417,13530,322,24964542,47550,1132
6682750,13530,322,27306500,47550,1132
6550834,13530,322,29663000,47550,1132
7174375,13530,322,28497500,47550,1132
6753208,13530,322,28607625,47550,1132
6584166,13530,322,28113333,47550,1132
6544458,13530,322,26985333,47550,1132
6513792,13530,322,26623125,47550,1132
10171958,13530,322,24673791,47550,1132
6856292,13530,322,30683417,47550,1132
7316833,13530,322,24166875,47550,1132
12986917,13530,322,29002833,47550,1132
6763708,13530,322,26848125,47550,1132
7026125,13530,322,30032958,47550,1132
6719875,13530,322,23607084,47550,1132
6791125,13530,322,24219000,47550,1132
9733042,13530,322,27991458,47550,1132
6598083,13530,322,30575375,47550,1132
6899208,13530,322,23960208,47550,1132
7376208,13530,322,24279542,47550,1132
9356208,13530,322,28230208,47550,1132
6555959,13530,322,27341042,47550,1132
6535584,13530,322,27063416,47550,1132
7291875,13530,322,27366750,47550,1132
6967292,13530,322,25260750,47550,1132
11803875,13530,322,25444959,47550,1132
9901458,13530,322,27511083,47550,1132
6634916,13530,322,29148584,47550,1132
7216250,13530,322,24013500,47550,1132
10061542,13530,322,25589250,47550,1132
6619375,13530,322,26277000,47550,1132
6848833,13530,322,29120459,47550,1132
6854875,13530,322,24295416,47550,1132
6680625,13530,322,29983167,47550,1132
6950291,13530,322,23574209,47550,1132
7021792,13530,322,24122208,47550,1132
6523583,13530,322,30485458,47550,1132
6750042,13530,322,30144833,47550,1132
6943750,13530,322,23834708,47550,1132
10278167,13530,322,23980750,47550,1132
10748541,13530,322,24688166,47550,1132
9111167,13530,322,24980416,47550,1132
9033625,13530,322,29101542,47550,1132
7038333,13530,322,28468583,47550,1132
6840625,13530,322,24693083,47550,1132
9075042,13530,322,28178625,47550,1132
6804042,13530,322,30942875,47550,1132
6761958,13530,322,27561958,47550,1132
6654917,13530,322,26684458,47550,1132
6837250,13530,322,29642875,47550,1132
6817750,13530,322,27174167,47550,1132
7300917,13530,322,24739083,47550,1132
6774625,13530,322,30296750,47550,1132
7247583,13530,322,30943417,47550,1132
6875791,13530,322,24360583,47550,1132
10801334,13530,322,26458875,47550,1132
6515792,13530,322,30110959,47550,1132
7003292,13530,322,26008792,47550,1132
6832000,13530,322,25989583,47550,1132
6588542,13530,322,26741459,47550,1132
6662792,13530,322,25940625,47550,1132
6861292,13530,322,24789375,47550,1132
12385542,13530,322,24887792,47550,1132
7091667,13530,322,26906958,47550,1132
