PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
2988989,9072,2941,2462111,5890,2941
3091664,9072,2941,2406029,5890,2941
3010821,9072,2941,2459581,5890,2941
2901825,9072,2941,2372956,5890,2941
2926436,9072,2941,2419199,5890,2941
2946527,9072,2941,2416209,5890,2941
2865913,9072,2941,2335355,5890,2941
3100836,9072,2941,2653831,5890,2941
3328918,9072,2941,2596418,5890,2941
2976089,9072,2941,2427520,5890,2941
2976719,9072,2941,2413499,5890,2941
2882624,9072,2941,2422869,5890,2941
2954388,9072,2941,2444330,5890,2941
2921206,9072,2941,2404488,5890,2941
2977299,9072,2941,2407799,5890,2941
2922926,9072,2941,2430400,5890,2941
2974379,9072,2941,2556136,5890,2941
2878124,9072,2941,2345195,5890,2941
2942717,9072,2941,2378497,5890,2941
2859923,9072,2941,2365806,5890,2941
2808630,9072,2941,2275192,5890,2941
2855203,9072,2941,2285552,5890,2941
2880534,9072,2941,2349665,5890,2941
2825661,9072,2941,2395148,5890,2941
2960838,9072,2941,2481053,5890,2941
3106306,9072,2941,2641851,5890,2941
2961039,9072,2941,2425059,5890,2941
2987109,9072,2941,2504904,5890,2941
2942718,9072,2941,2414039,5890,2941
2901186,9072,2941,2450091,5890,2941
2918196,9072,2941,2501434,5890,2941
3027832,9072,2941,2456972,5890,2941
3064584,9072,2941,2536406,5890,2941
2952608,9072,2941,2468223,5890,2941
3161319,9072,2941,2593089,5890,2941
3076105,9072,2941,2467082,5890,2941
2962789,9072,2941,2410169,5890,2941
2924787,9072,2941,2433390,5890,2941
2954718,9072,2941,2420160,5890,2941
2974760,9072,2941,2518435,5890,2941
3066914,9072,2941,2414850,5890,2941
2927336,9072,2941,2358856,5890,2941
3185290,9072,2941,2479623,5890,2941
2962480,9072,2941,2483303,5890,2941
2899265,9072,2941,2384428,5890,2941
3095256,9072,2941,2507774,5890,2941
2901886,9072,2941,2390098,5890,2941
2992310,9072,2941,2508784,5890,2941
2916086,9072,2941,2400718,5890,2941
3048694,9072,2941,2673614,5890,2941
3030092,9072,2941,2494083,5890,2941
3057434,9072,2941,2569918,5890,2941
2949259,9072,2941,2397429,5890,2941
3007962,9072,2941,2498764,5890,2941
2905256,9072,2941,2391839,5890,2941
2899135,9072,2941,2416209,5890,2941
2863924,9072,2941,2367718,5890,2941
2926647,9072,2941,2372598,5890,2941
2867324,9072,2941,2335546,5890,2941
2818352,9072,2941,2319105,5890,2941
2948269,9072,2941,2471523,5890,2941
3022503,9072,2941,2406669,5890,2941
2854824,9072,2941,2319105,5890,2941
2871904,9072,2941,2317694,5890,2941
2995701,9072,2941,2438091,5890,2941
2840933,9072,2941,2344706,5890,2941
2919258,9072,2941,2526766,5890,2941
2881135,9072,2941,2336106,5890,2941
3011902,9072,2941,2510555,5890,2941
3023603,9072,2941,2452642,5890,2941
2960349,9072,2941,2455053,5890,2941
2837903,9072,2941,2304884,5890,2941
2834943,9072,2941,2299764,5890,2941
2923987,9072,2941,2418660,5890,2941
2887055,9072,2941,2355557,5890,2941
3068035,9072,2941,2515796,5890,2941
3029933,9072,2941,2469623,5890,2941
2967940,9072,2941,2461073,5890,2941
2874605,9072,2941,2360258,5890,2941
2931328,9072,2941,2456193,5890,2941
2844703,9072,2941,2370048,5890,2941
2967350,9072,2941,2429402,5890,2941
2845473,9072,2941,2349467,5890,2941
2935358,9072,2941,2457522,5890,2941
2838253,9072,2941,2335156,5890,2941
2829122,9072,2941,2345696,5890,2941
2868745,9072,2941,2385039,5890,2941
2987572,9072,2941,2445072,5890,2941
3035053,9072,2941,2476373,5890,2941
2968600,9072,2941,2520897,5890,2941
2872715,9072,2941,2301915,5890,2941
2960450,9072,2941,2413671,5890,2941
2888816,9072,2941,2358268,5890,2941
2938249,9072,2941,2404860,5890,2941
2884576,9072,2941,2324986,5890,2941
3132200,9072,2941,2467233,5890,2941
3012743,9072,2941,2483384,5890,2941
2927938,9072,2941,2456653,5890,2941
2979091,9072,2941,2429351,5890,2941
3007773,9072,2941,2452102,5890,2941
