PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
9688208,6,2941,21722497,6,6840
9882368,6,2941,21447773,6,6840
9725040,6,2941,21029011,6,6840
9777143,6,2941,21590560,6,6840
9713530,6,2941,21139877,6,6840
9862117,6,2941,21356848,6,6840
9676297,6,2941,21035022,6,6840
9595293,6,2941,20684593,6,6840
9949161,6,2941,21780829,6,6840
9867648,6,2941,21662563,6,6840
9846446,6,2941,21362828,6,6840
10975525,6,2941,23400545,6,6840
10172823,6,2941,21855225,6,6840
9878599,6,2941,21468025,6,6840
9691269,6,2941,21304206,6,6840
9957392,6,2941,21875416,6,6840
10093319,6,2941,21716717,6,6840
10019056,6,2941,21780071,6,6840
9930212,6,2941,21341398,6,6840
9673147,6,2941,21128117,6,6840
9481168,6,2941,20478874,6,6840
9891069,6,2941,21665836,6,6840
10082559,6,2941,21803902,6,6840
9941152,6,2941,21583671,6,6840
9677049,6,2941,21053003,6,6840
9533451,6,2941,20545378,6,6840
9613695,6,2941,20728898,6,6840
9523541,6,2941,21022433,6,6840
9581063,6,2941,20912488,6,6840
9664128,6,2941,20918248,6,6840
9538182,6,2941,20836404,6,6840
10027547,6,2941,21781082,6,6840
9772224,6,2941,21337310,6,6840
9995996,6,2941,21773212,6,6840
9775644,6,2941,21372532,6,6840
9851207,6,2941,21440275,6,6840
9685429,6,2941,21112368,6,6840
9615125,6,2941,20653355,6,6840
9845168,6,2941,21573452,6,6840
9756553,6,2941,21219084,6,6840
9565433,6,2941,24278201,6,6840
11952537,6,2941,22163344,6,6840
9881130,6,2941,21617315,6,6840
10248789,6,2941,21303639,6,6840
10465910,6,2941,23359116,6,6840
11275621,6,2941,21704270,6,6840
9755734,6,2941,20840636,6,6840
9840027,6,2941,21442796,6,6840
9677919,6,2941,21026664,6,6840
9546593,6,2941,20754401,6,6840
9640237,6,2941,21161842,6,6840
393945927,6,2941,21862140,6,6840
9865290,6,2941,21827488,6,6840
9858319,6,2941,21447178,6,6840
9674260,6,2941,21156323,6,6840
9591496,6,2941,21234698,6,6840
9653519,6,2941,21220206,6,6840
9802627,6,2941,21539963,6,6840
9912852,6,2941,21598846,6,6840
9683511,6,2941,21017546,6,6840
9709601,6,2941,21117051,6,6840
9671570,6,2941,21148193,6,6840
9693491,6,2941,21055488,6,6840
9764234,6,2941,21292020,6,6840
9921803,6,2941,21541474,6,6840
9766115,6,2941,21157475,6,6840
9926854,6,2941,21770626,6,6840
9704742,6,2941,21190656,6,6840
9643128,6,2941,21884412,6,6840
9776706,6,2941,21399617,6,6840
9707192,6,2941,21079990,6,6840
9476580,6,2941,20910541,6,6840
9956995,6,2941,21673281,6,6840
9847539,6,2941,21537314,6,6840
9666870,6,2941,21166345,6,6840
10131714,6,2941,22079742,6,6840
9778996,6,2941,21366825,6,6840
9634759,6,2941,21117033,6,6840
9551225,6,2941,20719652,6,6840
9968596,6,2941,22592970,6,6840
10114884,6,2941,21707145,6,6840
9742265,6,2941,21184977,6,6840
9519813,6,2941,20864210,6,6840
9506262,6,2941,20833910,6,6840
9986817,6,2941,22118896,6,6840
10225670,6,2941,22064743,6,6840
10147645,6,2941,21849342,6,6840
9903063,6,2941,21485204,6,6840
9719453,6,2941,21752727,6,6840
9895712,6,2941,21461582,6,6840
9948035,6,2941,21929046,6,6840
9902393,6,2941,21474372,6,6840
9972276,6,2941,21810230,6,6840
9916104,6,2941,21589708,6,6840
10096684,6,2941,22384381,6,6840
9853771,6,2941,21443393,6,6840
9913344,6,2941,21409990,6,6840
9946366,6,2941,21778179,6,6840
9967987,6,2941,21610281,6,6840
9957456,6,2941,21509786,6,6840
