PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
147521254,148140,3527,119957699,287286,6840
60829000,148140,3527,119941338,287286,6840
60781927,148140,3527,121437281,287286,6840
61598051,148140,3527,120889063,287286,6840
61621762,148140,3527,119333019,287286,6840
60068109,148140,3527,118097961,287286,6840
60064329,148140,3527,117682991,287286,6840
59813057,148140,3527,120903273,287286,6840
60237292,148140,3527,125245351,287286,6840
64308216,148140,3527,118351292,287286,6840
60385199,148140,3527,120403901,287286,6840
60429271,148140,3527,117615498,287286,6840
59195367,148140,3527,121141245,287286,6840
62887723,148140,3527,120212112,287286,6840
61454005,148140,3527,120752397,287286,6840
60415216,148140,3527,118405336,287286,6840
63010628,148140,3527,118599091,287286,6840
169185486,148140,3527,118025307,287286,6840
61464340,148140,3527,119872015,287286,6840
61161686,148140,3527,120170510,287286,6840
61047371,148140,3527,126556199,287286,6840
61640184,148140,3527,122286760,287286,6840
62833971,148140,3527,120825520,287286,6840
60223736,148140,3527,119995601,287286,6840
60111441,148140,3527,119178312,287286,6840
60670161,148140,3527,118927430,287286,6840
60892703,148140,3527,117653168,287286,6840
58859456,148140,3527,120029032,287286,6840
60023131,148140,3527,119082227,287286,6840
57686789,148140,3527,117673920,287286,6840
59454019,148140,3527,117606975,287286,6840
59204887,148140,3527,121940313,287286,6840
59875649,148140,3527,116681492,287286,6840
59137434,148140,3527,117457428,287286,6840
59564225,148140,3527,268183461,287286,6840
60077184,148140,3527,119680744,287286,6840
60491273,148140,3527,119861513,287286,6840
59864914,148140,3527,118570551,287286,6840
60791008,148140,3527,125847679,287286,6840
60860626,148140,3527,119754609,287286,6840
61849744,148140,3527,121901441,287286,6840
61169391,148140,3527,120674923,287286,6840
58561366,148140,3527,120840640,287286,6840
60388029,148140,3527,119770218,287286,6840
60601398,148140,3527,120599008,287286,6840
62418366,148140,3527,121813026,287286,6840
62128682,148140,3527,119627062,287286,6840
62230127,148140,3527,120204557,287286,6840
58853379,148140,3527,121193747,287286,6840
60721149,148140,3527,119181969,287286,6840
60475117,148140,3527,118827992,287286,6840
58417588,148140,3527,272872082,287286,6840
61683640,148140,3527,119642081,287286,6840
60924924,148140,3527,121220377,287286,6840
60599638,148140,3527,117603343,287286,6840
60689033,148140,3527,118409722,287286,6840
63850031,148140,3527,120680791,287286,6840
60473087,148140,3527,119136416,287286,6840
61246694,148140,3527,118574089,287286,6840
58989745,148140,3527,119148016,287286,6840
60209154,148140,3527,121253534,287286,6840
59673433,148140,3527,115397314,287286,6840
61986215,148140,3527,119853701,287286,6840
60080203,148140,3527,119719354,287286,6840
58272985,148140,3527,113857920,287286,6840
62880460,148140,3527,121759992,287286,6840
58784375,148140,3527,114593385,287286,6840
59945321,148140,3527,116508578,287286,6840
57290092,148140,3527,301496431,287286,6840
61703261,148140,3527,120051529,287286,6840
59940685,148140,3527,121759612,287286,6840
60854739,148140,3527,118083923,287286,6840
59764067,148140,3527,120632818,287286,6840
60164787,148140,3527,119609051,287286,6840
59087499,148140,3527,118208479,287286,6840
60701447,148140,3527,117869302,287286,6840
60054425,148140,3527,119082271,287286,6840
60045585,148140,3527,119974204,287286,6840
61299637,148140,3527,119411437,287286,6840
60676760,148140,3527,119190066,287286,6840
60609827,148140,3527,119643108,287286,6840
60202828,148140,3527,141041452,287286,6840
61201406,148140,3527,123666038,287286,6840
61524276,148140,3527,121026335,287286,6840
61415872,148140,3527,121960561,287286,6840
74120982,148140,3527,361484456,287286,6840
60938013,148140,3527,120325620,287286,6840
59423139,148140,3527,118824686,287286,6840
60734413,148140,3527,120095629,287286,6840
59599838,148140,3527,119839636,287286,6840
60431398,148140,3527,118838721,287286,6840
59796902,148140,3527,117223197,287286,6840
59935298,148140,3527,118662427,287286,6840
59290756,148140,3527,117919231,287286,6840
59825973,148140,3527,118831475,287286,6840
59719598,148140,3527,117884508,287286,6840
60365674,148140,3527,117042477,287286,6840
58292802,148140,3527,120505907,287286,6840
58815838,148140,3527,119079267,287286,6840
58910692,148140,3527,114106062,287286,6840
