PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
589083,6,145,2043333,6,720
585292,6,145,2026125,6,720
637167,6,145,2275583,6,720
589583,6,145,2100708,6,720
588375,6,145,2036750,6,720
573208,6,145,2059667,6,720
607709,6,145,2136333,6,720
794000,6,145,5837583,6,720
692417,6,145,2160625,6,720
586959,6,145,2111791,6,720
1354750,6,145,3259333,6,720
570791,6,145,2115375,6,720
595708,6,145,2079667,6,720
603542,6,145,2159208,6,720
603375,6,145,2061000,6,720
593666,6,145,4663542,6,720
619750,6,145,2059000,6,720
651333,6,145,2303916,6,720
2730375,6,145,2415791,6,720
765333,6,145,2132375,6,720
610250,6,145,2167250,6,720
621541,6,145,2196291,6,720
627708,6,145,5965166,6,720
633917,6,145,2084625,6,720
613542,6,145,2089250,6,720
617125,6,145,2126583,6,720
584583,6,145,2251250,6,720
616417,6,145,2102292,6,720
575292,6,145,5068750,6,720
721833,6,145,2137750,6,720
671459,6,145,2156583,6,720
606750,6,145,2097041,6,720
581084,6,145,2030500,6,720
576208,6,145,2227584,6,720
605875,6,145,2060000,6,720
572042,6,145,5225583,6,720
609834,6,145,2146416,6,720
642833,6,145,2077250,6,720
689334,6,145,2143458,6,720
617500,6,145,2064833,6,720
589125,6,145,2074583,6,720
686167,6,145,2175084,6,720
590125,6,145,2137333,6,720
570416,6,145,2055625,6,720
596125,6,145,2061042,6,720
648875,6,145,2116792,6,720
638458,6,145,2116958,6,720
604250,6,145,2151834,6,720
630708,6,145,2050084,6,720
572583,6,145,2057541,6,720
684625,6,145,2061625,6,720
1370084,6,145,2425666,6,720
594708,6,145,2059042,6,720
632084,6,145,2469625,6,720
586209,6,145,2105083,6,720
611584,6,145,2100792,6,720
606583,6,145,2111375,6,720
621083,6,145,2208541,6,720
589625,6,145,2032541,6,720
1562709,6,145,3356542,6,720
673458,6,145,2102833,6,720
639042,6,145,2123083,6,720
753083,6,145,2139959,6,720
585750,6,145,2098875,6,720
579542,6,145,2066208,6,720
588041,6,145,4617666,6,720
634208,6,145,2130459,6,720
605125,6,145,2094917,6,720
607458,6,145,2072250,6,720
651125,6,145,2104542,6,720
623458,6,145,2101291,6,720
837709,6,145,2951708,6,720
639292,6,145,2133000,6,720
636583,6,145,2200042,6,720
595792,6,145,2030666,6,720
634917,6,145,2068375,6,720
608375,6,145,2086958,6,720
670292,6,145,2246458,6,720
601583,6,145,2119167,6,720
607209,6,145,2081208,6,720
586667,6,145,2062958,6,720
1606917,6,145,3396250,6,720
650334,6,145,2198666,6,720
666625,6,145,2137958,6,720
617875,6,145,2228000,6,720
622792,6,145,2127125,6,720
654416,6,145,2107167,6,720
786000,6,145,2261625,6,720
662000,6,145,2204250,6,720
640125,6,145,2246375,6,720
648792,6,145,2169750,6,720
642875,6,145,2422334,6,720
644625,6,145,2260583,6,720
1234167,6,145,2135083,6,720
748125,6,145,2168209,6,720
714625,6,145,2216083,6,720
741958,6,145,2272000,6,720
662584,6,145,2579958,6,720
615625,6,145,2323083,6,720
662916,6,145,2373667,6,720
