PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
43793,52,15,39203,36,15
56304,52,15,45483,36,15
31122,52,15,24951,36,15
28142,52,15,25242,36,15
45863,52,15,44083,36,15
29592,52,15,24371,36,15
71015,52,15,43113,36,15
28712,52,15,33052,36,15
27742,52,15,24632,36,15
46053,52,15,45553,36,15
29762,52,15,25442,36,15
35133,52,15,24471,36,15
46863,52,15,48113,36,15
30912,52,15,26942,36,15
47493,52,15,53263,36,15
56754,52,15,43823,36,15
29922,52,15,36183,36,15
45242,52,15,43853,36,15
27922,52,15,24712,36,15
26632,52,15,23702,36,15
44783,52,15,44773,36,15
37862,52,15,25072,36,15
46683,52,15,51714,36,15
37292,52,15,24461,36,15
26162,52,15,24202,36,15
76395,52,15,30752,36,15
30652,52,15,25342,36,15
51384,52,15,50503,36,15
34152,52,15,27811,36,15
35182,52,15,23902,36,15
121727,52,15,25842,36,15
27201,52,15,23961,36,15
31392,52,15,23601,36,15
26382,52,15,34192,36,15
28631,52,15,31892,36,15
26051,52,15,28372,36,15
36012,52,15,25652,36,15
26041,52,15,23152,36,15
25342,52,15,23851,36,15
25682,52,15,23581,36,15
30242,52,15,24401,36,15
25011,52,15,22472,36,15
24812,52,15,22411,36,15
34632,52,15,23172,36,15
40743,52,15,34002,36,15
41312,52,15,26362,36,15
28722,52,15,32662,36,15
24201,52,15,22522,36,15
25232,52,15,22261,36,15
23852,52,15,22301,36,15
23161,52,15,21842,36,15
35052,52,15,27762,36,15
26701,52,15,23612,36,15
26131,52,15,22912,36,15
24871,52,15,21982,36,15
48953,52,15,24271,36,15
26762,52,15,20971,36,15
23062,52,15,26211,36,15
23312,52,15,20591,36,15
22881,52,15,20862,36,15
28082,52,15,22101,36,15
24152,52,15,21501,36,15
24342,52,15,37412,36,15
23361,52,15,20892,36,15
23391,52,15,30062,36,15
23401,52,15,20821,36,15
22701,52,15,20311,36,15
22762,52,15,20591,36,15
49123,52,15,26991,36,15
27522,52,15,23601,36,15
40583,52,15,34382,36,15
24341,52,15,22191,36,15
35752,52,15,22052,36,15
23672,52,15,22151,36,15
24382,52,15,39492,36,15
25221,52,15,22332,36,15
24172,52,15,21611,36,15
24881,52,15,32983,36,15
31382,52,15,30482,36,15
23802,52,15,22091,36,15
24192,52,15,21411,36,15
23811,52,15,21241,36,15
31212,52,15,20221,36,15
23421,52,15,20332,36,15
49903,52,15,25572,36,15
23162,52,15,20141,36,15
23312,52,15,19581,36,15
22081,52,15,20042,36,15
22952,52,15,23071,36,15
23742,52,15,19531,36,15
22331,52,15,19572,36,15
21672,52,15,19841,36,15
22621,52,15,19731,36,15
21911,52,15,19911,36,15
21382,52,15,19251,36,15
44473,52,15,23591,36,15
23602,52,15,20481,36,15
22241,52,15,19351,36,15
22761,52,15,20221,36,15
20951,52,15,19142,36,15
