PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
135058,6,15,211343,6,64
103437,6,15,204033,6,64
92806,6,15,129718,6,64
69914,6,15,131979,6,64
47603,6,15,104197,6,64
35582,6,15,82365,6,64
39233,6,15,82655,6,64
37023,6,15,95566,6,64
37822,6,15,82875,6,64
34872,6,15,88366,6,64
34712,6,15,82765,6,64
34202,6,15,82245,6,64
36932,6,15,83296,6,64
34542,6,15,82895,6,64
214684,6,15,137088,6,64
45682,6,15,81995,6,64
34502,6,15,86615,6,64
37633,6,15,91826,6,64
44643,6,15,84416,6,64
34242,6,15,87556,6,64
34342,6,15,83576,6,64
35143,6,15,82505,6,64
35883,6,15,81565,6,64
34762,6,15,80405,6,64
32992,6,15,83225,6,64
34432,6,15,82196,6,64
35393,6,15,81545,6,64
33822,6,15,82236,6,64
34372,6,15,82295,6,64
34742,6,15,81915,6,64
36643,6,15,82845,6,64
34152,6,15,93396,6,64
35783,6,15,90005,6,64
37382,6,15,89336,6,64
33892,6,15,80795,6,64
34072,6,15,81965,6,64
33192,6,15,88825,6,64
33503,6,15,84295,6,64
34942,6,15,82035,6,64
40283,6,15,82635,6,64
33692,6,15,83225,6,64
33382,6,15,82095,6,64
39193,6,15,82485,6,64
33192,6,15,96877,6,64
34652,6,15,81035,6,64
37892,6,15,107846,6,64
36242,6,15,87895,6,64
34642,6,15,90576,6,64
33682,6,15,80445,6,64
32802,6,15,80095,6,64
32782,6,15,87426,6,64
34133,6,15,82725,6,64
34302,6,15,82245,6,64
40703,6,15,83315,6,64
33832,6,15,83975,6,64
33893,6,15,82225,6,64
34482,6,15,83006,6,64
34202,6,15,83326,6,64
34212,6,15,82445,6,64
34192,6,15,81905,6,64
33453,6,15,82365,6,64
34682,6,15,82585,6,64
34392,6,15,82515,6,64
33902,6,15,81865,6,64
33752,6,15,140609,6,64
38252,6,15,78415,6,64
37443,6,15,77845,6,64
34412,6,15,82475,6,64
33303,6,15,77594,6,64
33872,6,15,125287,6,64
37502,6,15,80596,6,64
32602,6,15,79795,6,64
31922,6,15,77365,6,64
32582,6,15,76665,6,64
32212,6,15,76265,6,64
33182,6,15,76335,6,64
32872,6,15,75815,6,64
31462,6,15,80115,6,64
31772,6,15,78265,6,64
32752,6,15,84905,6,64
32223,6,15,78334,6,64
44883,6,15,131458,6,64
39412,6,15,78184,6,64
33952,6,15,77705,6,64
32382,6,15,103926,6,64
32542,6,15,82415,6,64
32122,6,15,81156,6,64
32822,6,15,77565,6,64
31862,6,15,76835,6,64
34342,6,15,78785,6,64
32402,6,15,78875,6,64
32312,6,15,77044,6,64
32322,6,15,76895,6,64
32282,6,15,77195,6,64
33292,6,15,77795,6,64
33472,6,15,77075,6,64
43903,6,15,114047,6,64
36292,6,15,93946,6,64
34782,6,15,76305,6,64
32912,6,15,80085,6,64
