PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
128158,636,15,459249,2694,64
108867,636,15,404866,2694,64
109596,636,15,406386,2694,64
106537,636,15,412206,2694,64
105636,636,15,455399,2694,64
107007,636,15,416336,2694,64
110277,636,15,409695,2694,64
107747,636,15,407706,2694,64
109287,636,15,407795,2694,64
103147,636,15,417406,2694,64
103106,636,15,414696,2694,64
110867,636,15,407056,2694,64
111377,636,15,404485,2694,64
104496,636,15,411585,2694,64
147670,636,15,419706,2694,64
104576,636,15,412516,2694,64
104207,636,15,416676,2694,64
109977,636,15,406335,2694,64
101256,636,15,404635,2694,64
103576,636,15,434827,2694,64
102817,636,15,407395,2694,64
104026,636,15,410106,2694,64
138049,636,15,436078,2694,64
147720,636,15,413916,2694,64
106686,636,15,418037,2694,64
109987,636,15,408896,2694,64
102496,636,15,407565,2694,64
100756,636,15,405816,2694,64
100727,636,15,405515,2694,64
102906,636,15,417697,2694,64
102577,636,15,406185,2694,64
104596,636,15,411876,2694,64
102787,636,15,418046,2694,64
101126,636,15,412035,2694,64
100526,636,15,406525,2694,64
107737,636,15,408426,2694,64
98696,636,15,407356,2694,64
98177,636,15,399905,2694,64
98136,636,15,406356,2694,64
101946,636,15,404556,2694,64
97626,636,15,443998,2694,64
97046,636,15,400625,2694,64
97346,636,15,401365,2694,64
97356,636,15,395045,2694,64
97136,636,15,393455,2694,64
106057,636,15,402495,2694,64
97546,636,15,402896,2694,64
96366,636,15,392294,2694,64
97376,636,15,392255,2694,64
95676,636,15,391515,2694,64
94216,636,15,382014,2694,64
96166,636,15,390184,2694,64
95116,636,15,389525,2694,64
95526,636,15,384944,2694,64
95606,636,15,387074,2694,64
97086,636,15,385755,2694,64
97206,636,15,384394,2694,64
96196,636,15,385454,2694,64
94496,636,15,387544,2694,64
97826,636,15,390274,2694,64
98886,636,15,384864,2694,64
98146,636,15,436378,2694,64
94706,636,15,396955,2694,64
95656,636,15,393175,2694,64
96136,636,15,390865,2694,64
94286,636,15,396634,2694,64
95136,636,15,389424,2694,64
107627,636,15,396165,2694,64
98616,636,15,398585,2694,64
95996,636,15,388554,2694,64
97366,636,15,385984,2694,64
97496,636,15,387005,2694,64
95556,636,15,387754,2694,64
95656,636,15,386734,2694,64
98526,636,15,386975,2694,64
100986,636,15,387625,2694,64
94716,636,15,409426,2694,64
96836,636,15,393545,2694,64
95146,636,15,391664,2694,64
97087,636,15,394304,2694,64
96446,636,15,390394,2694,64
97746,636,15,386124,2694,64
96386,636,15,384964,2694,64
100426,636,15,384964,2694,64
119687,636,15,387035,2694,64
97296,636,15,386534,2694,64
102916,636,15,387665,2694,64
99866,636,15,389994,2694,64
95706,636,15,392594,2694,64
97316,636,15,387934,2694,64
96046,636,15,381334,2694,64
93866,636,15,382134,2694,64
95596,636,15,384694,2694,64
99806,636,15,394235,2694,64
95336,636,15,432847,2694,64
95756,636,15,389164,2694,64
94976,636,15,385564,2694,64
93936,636,15,468499,2694,64
98557,636,15,386374,2694,64
94666,636,15,383834,2694,64
