PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
440,0,0,140,0,0
100,0,0,100,0,0
80,0,0,70,0,0
70,0,0,70,0,0
70,0,0,80,0,0
60,0,0,70,0,0
70,0,0,80,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,80,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,80,0,0
80,0,0,80,0,0
70,0,0,70,0,0
60,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
60,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
80,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
60,0,0,70,0,0
70,0,0,80,0,0
70,0,0,70,0,0
70,0,0,80,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
60,0,0,70,0,0
60,0,0,70,0,0
70,0,0,60,0,0
60,0,0,70,0,0
90,0,0,80,0,0
90,0,0,90,0,0
90,0,0,100,0,0
100,0,0,90,0,0
100,0,0,90,0,0
110,0,0,100,0,0
90,0,0,100,0,0
100,0,0,100,0,0
90,0,0,100,0,0
100,0,0,100,0,0
100,0,0,100,0,0
100,0,0,100,0,0
100,0,0,100,0,0
110,0,0,80,0,0
120,0,0,110,0,0
110,0,0,100,0,0
110,0,0,100,0,0
100,0,0,100,0,0
100,0,0,90,0,0
90,0,0,90,0,0
90,0,0,110,0,0
100,0,0,100,0,0
100,0,0,100,0,0
90,0,0,110,0,0
110,0,0,100,0,0
100,0,0,100,0,0
90,0,0,90,0,0
90,0,0,90,0,0
100,0,0,90,0,0
90,0,0,90,0,0
110,0,0,100,0,0
110,0,0,100,0,0
100,0,0,90,0,0
100,0,0,100,0,0
100,0,0,90,0,0
80,0,0,70,0,0
70,0,0,70,0,0
70,0,0,60,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
