PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
380,0,0,160,0,0
110,0,0,110,0,0
90,0,0,70,0,0
80,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,80,0,0
70,0,0,70,0,0
70,0,0,80,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,90,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
80,0,0,90,0,0
80,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
80,0,0,70,0,0
70,0,0,70,0,0
80,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
80,0,0,70,0,0
70,0,0,70,0,0
70,0,0,80,0,0
80,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,80,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
80,0,0,80,0,0
70,0,0,80,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,80,0,0
70,0,0,70,0,0
70,0,0,70,0,0
80,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
70,0,0,70,0,0
80,0,0,70,0,0
