PowerOnNanos,PowerOnPhysics,PowerOnRedstone,PowerOffNanos,PowerOffPhysics,PowerOffRedstone
1140,0,0,620,0,0
210,0,0,160,0,0
150,0,0,150,0,0
150,0,0,140,0,0
140,0,0,150,0,0
150,0,0,150,0,0
140,0,0,150,0,0
140,0,0,150,0,0
140,0,0,150,0,0
140,0,0,150,0,0
150,0,0,160,0,0
160,0,0,150,0,0
150,0,0,140,0,0
150,0,0,400,0,0
220,0,0,170,0,0
140,0,0,160,0,0
160,0,0,150,0,0
150,0,0,150,0,0
150,0,0,160,0,0
140,0,0,160,0,0
140,0,0,160,0,0
150,0,0,150,0,0
150,0,0,170,0,0
150,0,0,150,0,0
140,0,0,160,0,0
150,0,0,160,0,0
150,0,0,150,0,0
140,0,0,140,0,0
140,0,0,150,0,0
140,0,0,160,0,0
140,0,0,150,0,0
140,0,0,160,0,0
140,0,0,160,0,0
150,0,0,160,0,0
160,0,0,160,0,0
140,0,0,160,0,0
150,0,0,150,0,0
150,0,0,140,0,0
140,0,0,150,0,0
150,0,0,150,0,0
150,0,0,150,0,0
150,0,0,150,0,0
150,0,0,150,0,0
140,0,0,150,0,0
150,0,0,160,0,0
140,0,0,150,0,0
140,0,0,150,0,0
150,0,0,150,0,0
150,0,0,150,0,0
150,0,0,160,0,0
160,0,0,150,0,0
140,0,0,160,0,0
150,0,0,150,0,0
150,0,0,150,0,0
150,0,0,150,0,0
140,0,0,160,0,0
150,0,0,150,0,0
140,0,0,160,0,0
150,0,0,160,0,0
140,0,0,150,0,0
150,0,0,150,0,0
140,0,0,150,0,0
140,0,0,160,0,0
140,0,0,150,0,0
150,0,0,150,0,0
140,0,0,150,0,0
150,0,0,160,0,0
150,0,0,160,0,0
150,0,0,160,0,0
150,0,0,160,0,0
140,0,0,160,0,0
150,0,0,160,0,0
150,0,0,160,0,0
140,0,0,180,0,0
150,0,0,150,0,0
150,0,0,160,0,0
150,0,0,160,0,0
140,0,0,760,0,0
170,0,0,150,0,0
150,0,0,150,0,0
150,0,0,160,0,0
150,0,0,160,0,0
150,0,0,150,0,0
150,0,0,150,0,0
150,0,0,140,0,0
140,0,0,150,0,0
150,0,0,220,0,0
150,0,0,150,0,0
140,0,0,160,0,0
150,0,0,170,0,0
150,0,0,150,0,0
150,0,0,140,0,0
140,0,0,140,0,0
140,0,0,150,0,0
140,0,0,140,0,0
140,0,0,150,0,0
150,0,0,150,0,0
150,0,0,150,0,0
160,0,0,150,0,0
150,0,0,160,0,0
